Box_No,New_Product_Name,Description,Colour,Size_2,Size_4,Size_6,Size_8,Size_10,Size_12,Size_14,Row_Total,Category,Recalc_Flag
39.0,Archie,Boys Gown Blue Fleece Checked Lining,Blue,0,0,0,0,0,1,0,1,Sleep/Lounge (Unisex),Used Qty
50.0,Oscar,Boys PJs Navy Check,Navy check,1,0,0,0,0,0,0,1,Sleep/Lounge (Unisex),Used Qty
50.0,Grayson,Boys PJs Short Jersey Lounge Mid Blue,Mid Blue,3,0,1,0,0,2,0,6,Sleep/Lounge (Unisex),Used Qty
50.0,Oscar,Boys PJs Short Beige,Beige,1,0,0,0,0,0,0,1,Sleep/Lounge (Unisex),Used Qty
50.0,Noah,Boys PJs Short Jersey Lounge Stripy Grey,Stripey grey,0,0,1,0,1,0,0,2,Sleep/Lounge (Unisex),Used Qty
50.0,Harley,Boys Best Flannel L/S PJs,Bluey grey,2,0,0,0,0,0,0,2,Sleep/Lounge (Unisex),Used Qty
50.0,Charlie,Boys L/S PJs Blue Red and White,Blue Red & White,1,2,0,0,0,0,0,3,Sleep/Lounge (Unisex),Used Qty
30.0,Elsie,Infants Sleeping Bag pink,Pink,2,0,0,0,0,0,0,2,Children's,Used Qty
30.0,,Baby Pillow Red Check,Red,1,0,0,0,0,0,0,1,Children's,Used Qty
30.0,Ivy,Raglan PJ Girls aqua,Aqua,1,1,0,0,0,0,0,2,Sleep/Lounge (Unisex),Used Qty
30.0,Lily,Girls Nighty Pink Ribbon Neck Tie,Pink,3,0,0,0,0,0,0,3,Sleep/Lounge (Unisex),Used Qty
30.0,Scarlett,Girls PJ Red Mini Check L/S Long Pants,Pink,1,0,0,0,0,0,0,1,Sleep/Lounge (Unisex),Used Qty
30.0,Isla,Stripy Blue Girls Nighty SS,Blue,0,0,5,0,0,0,0,5,Sleep/Lounge (Unisex),Used Qty
